10,m,31-33,Buenos Aires,1-2,Developer,Full-Time,14500,3
10,m,37-40,CABA,10+,SysAdmin / DevOps,Full-Time,25000,3
10,m,37-40,CABA,10+,SysAdmin / DevOps,Full-Time,31000,4
10,m,24-26,Buenos Aires,5-7,Analista de Sistemas,Full-Time,12500,2
10,m,31-33,CABA,10+,Developer,Full-Time,50000,4
10,m,31-33,CABA,8-10,SysAdmin / DevOps,Full-Time,20000,3
10,m,37-40,Buenos Aires,5-7,Developer,Freelance,20000,3
10,m,31-33,CABA,10+,PM,Full-Time,33000,4
10,m,27-30,Buenos Aires,8-10,SysAdmin / DevOps,Full-Time,14000,3
10,m,27-30,Neuquén,5-7,Developer,Full-Time,14000,3
10,m,37-40,CABA,10+,SysAdmin / DevOps,Full-Time,22500,4
10,m,24-26,CABA,3-5,SysAdmin / DevOps,Full-Time,16000,2
10,m,34-36,CABA,8-10,SysAdmin / DevOps,Full-Time,40000,5
10,m,27-30,CABA,3-5,Developer,Full-Time,15000,2
10,m,27-30,CABA,5-7,SysAdmin / DevOps,Full-Time,24000,4
10,m,27-30,CABA,8-10,Software Architect,Full-Time,25000,3
10,m,24-26,CABA,3-5,SysAdmin / DevOps,Full-Time,10000,3
10,m,31-33,CABA,5-7,SysAdmin / DevOps,Full-Time,12300,3
10,m,31-33,Santa Fe,8-10,SysAdmin / DevOps,Full-Time,19500,3
10,f,24-26,CABA,5-7,Developer,Full-Time,9000,3
11,m,27-30,Santa Fe,5-7,SysAdmin / DevOps,Part-Time,7500,2
11,m,37-40,CABA,10+,SysAdmin / DevOps,Full-Time,20000,3
11,m,24-26,Buenos Aires,5-7,Developer,Full-Time,12000,1
11,m,27-30,Córdoba,5-7,Developer,Full-Time,20300,3
11,m,34-36,CABA,10+,SysAdmin / DevOps,Full-Time,16000,2
11,m,34-36,Buenos Aires,8-10,SysAdmin / DevOps,Freelance,18000,3
11,f,31-33,Buenos Aires,5-7,Digital Content Analyst,Full-Time,11000,2
11,m,37-40,CABA,5-7,Developer,Full-Time,21000,3
11,m,34-36,CABA,10+,SysAdmin / DevOps,Full-Time,16500,1
11,m,27-30,CABA,10+,SysAdmin / DevOps,Full-Time,14000,1
11,m,27-30,CABA,8-10,Networking,Full-Time,28000,4
11,m,24-26,CABA,3-5,Analista funcional,Full-Time,9400,2
11,m,18-20,CABA,8-10,Developer,Part-Time,11000,4
11,m,27-30,CABA,8-10,Developer,Remoto,48000,4
11,m,50+,CABA,10+,SysAdmin / DevOps,Full-Time,16000,1
11,m,37-40,Santa Fe,8-10,SysAdmin / DevOps,Full-Time,14000,3
11,m,37-40,CABA,10+,SysAdmin / DevOps,Full-Time,13892,4
11,m,41-45,CABA,10+,SysAdmin / DevOps,Full-Time,16000,2
11,m,18-20,Buenos Aires,1-2,SysAdmin / DevOps,Full-Time,6800,1
11,m,24-26,CABA,3-5,HelpDesk,Part-Time,5430,4
11,m,41-45,CABA,10+,SysAdmin / DevOps,Full-Time,20000,1
11,m,37-40,Santa Fe,8-10,SysAdmin / DevOps,Full-Time,20000,4
11,f,27-30,CABA,3-5,Developer,Part-Time,9800,1
12,m,37-40,CABA,10+,SysAdmin / DevOps,Full-Time,20000,4
12,m,27-30,CABA,8-10,Operations Manager,Full-Time,32000,4
12,m,31-33,Chubut,10+,encargado,Part-Time,15500,3
12,m,41-45,Buenos Aires,5-7,Analyst Business Solutions,Full-Time,19000,3
12,m,27-30,CABA,3-5,HelpDesk,Full-Time,13500,4
12,m,31-33,Tucumán,1-2,Developer,Full-Time,10000,1
12,m,27-30,Corrientes,5-7,Developer,Part-Time,11500,4
12,m,24-26,Buenos Aires,5-7,SysAdmin / DevOps,Full-Time,10000,3
12,m,27-30,San Juan,5-7,mantenimiento de club deportivo,Full-Time,4000,1
12,m,21-23,CABA,1,Consultor BI,Full-Time,7000,3
13,m,27-30,CABA,8-10,QA / Tester,Full-Time,24000,3
13,m,27-30,Córdoba,8-10,SysAdmin / DevOps,Full-Time,12500,3
13,m,27-30,Buenos Aires,5-7,Freelance,Freelance,8000,2
13,m,24-26,CABA,3-5,Infosec,Full-Time,24000,4
13,m,31-33,CABA,8-10,Developer,Full-Time,22000,4
13,m,34-36,CABA,10+,SysAdmin / DevOps,Full-Time,36000,5
13,m,31-33,CABA,8-10,Developer,Full-Time,25000,4
13,m,27-30,CABA,1,Farmacia,Part-Time,10000,3
13,m,27-30,Buenos Aires,1-2,salud,Full-Time,7000,2
13,m,24-26,Salta,3-5,Mecanico,Full-Time,9300,3
13,m,24-26,CABA,3-5,Middleware,Full-Time,26000,4
13,m,27-30,CABA,8-10,Workload Automation,Full-Time,19000,3
13,m,37-40,CABA,10+,SysAdmin / DevOps,Full-Time,13000,2
13,m,37-40,Buenos Aires,10+,Developer,Remoto,55000,4
13,m,27-30,Buenos Aires,8-10,QA / Tester,Full-Time,25000,1
13,m,34-36,CABA,10+,Middleware,Full-Time,32000,2
13,m,27-30,Buenos Aires,10+,Encargado de seguridad,Full-Time,10000,3
13,m,34-36,Córdoba,1-2,Developer,Full-Time,25000,4
14,m,31-33,CABA,5-7,HelpDesk,Freelance,15000,3
14,m,21-23,CABA,3-5,HelpDesk,Full-Time,9600,1
14,m,37-40,CABA,8-10,Developer,Full-Time,23000,3
14,f,34-36,CABA,8-10,PM,Full-Time,18000,4
14,m,34-36,Santa Fe,10+,PM,Full-Time,29000,5
14,m,34-36,Mendoza,10+,Networking,Full-Time,15000,3
14,m,34-36,Santa Fe,10+,PM,Full-Time,29000,5
14,m,37-40,Neuquén,10+,SysAdmin / DevOps,Full-Time,11800,1
14,m,27-30,CABA,3-5,Ingeniero Civil,Full-Time,12500,2
14,m,31-33,CABA,8-10,Técnico Local,Remoto,10000,1
14,f,34-36,Neuquén,10+,Empleada de comercio,Part-Time,4000,1
14,m,24-26,CABA,5-7,PM,Full-Time,15000,3
14,m,27-30,CABA,5-7,Developer,Full-Time,29000,3
14,m,34-36,Córdoba,8-10,Developer,Freelance,7500,2
14,m,31-33,CABA,8-10,SysAdmin / DevOps,Full-Time,20800,3
14,m,18-20,Santa Fe,1-2,Networking,Full-Time,8000,3
14,m,27-30,Formosa,8-10,Developer,Full-Time,18000,4
14,m,34-36,Córdoba,10+,Developer,Full-Time,29000,4
14,m,34-36,CABA,10+,SysAdmin / DevOps,Full-Time,25000,1
14,m,27-30,CABA,3-5,SysAdmin / DevOps,Part-Time,8000,1
14,m,27-30,CABA,5-7,QA / Tester,Full-Time,14000,3
14,m,31-33,Mendoza,8-10,Developer,Full-Time,18600,3
14,m,24-26,Buenos Aires,3-5,SysAdmin / DevOps,Part-Time,5500,4
14,m,31-33,CABA,8-10,Developer,Full-Time,25000,3
14,m,31-33,Mendoza,3-5,QA / Tester,Full-Time,13000,2
14,m,24-26,CABA,3-5,Networking,Full-Time,23000,3
14,m,27-30,Mendoza,10+,PM,Full-Time,26800,4
14,m,21-23,CABA,1-2,Developer,Full-Time,13880,4
14,m,24-26,Mendoza,1-2,Developer,Full-Time,11000,3
14,m,24-26,Mendoza,3-5,QA / Tester,Full-Time,14300,2
14,m,31-33,CABA,8-10,SysAdmin / DevOps,Full-Time,15500,3
14,m,37-40,Mendoza,8-10,QA / Tester,Full-Time,24000,4
14,m,37-40,CABA,10+,PM,Full-Time,77000,5
14,m,27-30,CABA,8-10,SysAdmin / DevOps,Full-Time,23000,3
14,m,34-36,Mendoza,8-10,QA / Tester,Freelance,42000,5
14,m,34-36,CABA,10+,Programacion,Full-Time,14000,3
14,m,31-33,Córdoba,8-10,Developer,Full-Time,21000,3
14,m,34-36,CABA,10+,NOC,Full-Time,34000,4
14,m,31-33,Mendoza,5-7,Developer,Full-Time,18000,1
14,m,27-30,CABA,5-7,Developer,Full-Time,22000,3
14,m,31-33,Buenos Aires,1-2,SysAdmin / DevOps,Full-Time,18000,4
14,m,21-23,CABA,1-2,Developer,Full-Time,12000,5
14,m,27-30,Córdoba,5-7,Developer,Full-Time,15000,2
14,m,24-26,CABA,5-7,QA / Tester,Full-Time,16000,4
14,m,34-36,Mendoza,8-10,SysAdmin / DevOps,Part-Time,22000,3
14,m,37-40,Misiones,1-2,cajero,Full-Time,16000,3
15,m,31-33,Buenos Aires,10+,SysAdmin / DevOps,Full-Time,20000,2
15,m,24-26,Mendoza,5-7,QA / Tester,Full-Time,12000,1
15,f,24-26,CABA,5-7,HelpDesk,Full-Time,5000,2
15,m,34-36,CABA,10+,Service Manager,Full-Time,32000,4
